time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-13 00:00:00+00:00,19,11,168,17
2023-07-14 00:00:00+00:00,10,9,51,23
2023-07-15 00:00:00+00:00,2,2,19,7
2023-07-16 00:00:00+00:00,5,3,73,18
2023-07-17 00:00:00+00:00,27,15,80,30
2023-07-18 00:00:00+00:00,17,11,70,23
2023-07-19 00:00:00+00:00,27,16,88,28
2023-07-20 00:00:00+00:00,3,3,21,13
2023-07-21 00:00:00+00:00,6,3,7,6
2023-07-22 00:00:00+00:00,6,5,8,4
2023-07-23 00:00:00+00:00,19,14,47,4
2023-07-24 00:00:00+00:00,17,13,28,17
2023-07-25 00:00:00+00:00,7,7,16,11
2023-07-26 00:00:00+00:00,12,10,52,16
2023-07-27 00:00:00+00:00,8,7,20,9
2023-07-28 00:00:00+00:00,5,4,68,18
2023-07-29 00:00:00+00:00,3,3,4,3
2023-07-30 00:00:00+00:00,11,7,59,10
2023-07-31 00:00:00+00:00,26,17,177,17
2023-08-01 00:00:00+00:00,23,19,82,18
2023-08-02 00:00:00+00:00,8,8,83,15
2023-08-03 00:00:00+00:00,12,8,81,18
2023-08-04 00:00:00+00:00,5,4,130,16
2023-08-05 00:00:00+00:00,11,5,46,9
2023-08-06 00:00:00+00:00,8,6,58,9
2023-08-07 00:00:00+00:00,11,9,58,22
2023-08-08 00:00:00+00:00,5,5,96,18
2023-08-09 00:00:00+00:00,14,10,123,16
2023-08-10 00:00:00+00:00,11,7,58,10
2023-08-11 00:00:00+00:00,10,8,50,7
2023-08-12 00:00:00+00:00,2,2,6,3
2023-08-13 00:00:00+00:00,1,1,10,5
2023-08-14 00:00:00+00:00,8,7,37,9
2023-08-15 00:00:00+00:00,3,3,30,11
2023-08-16 00:00:00+00:00,8,7,63,16
2023-08-17 00:00:00+00:00,11,7,31,9
2023-08-18 00:00:00+00:00,9,9,66,15
2023-08-19 00:00:00+00:00,3,2,52,4
2023-08-20 00:00:00+00:00,2,2,3,2
2023-08-21 00:00:00+00:00,7,7,53,9
2023-08-22 00:00:00+00:00,10,5,48,12
2023-08-23 00:00:00+00:00,8,7,48,17
2023-08-24 00:00:00+00:00,2,2,13,5
2023-08-25 00:00:00+00:00,5,4,24,9
2023-08-26 00:00:00+00:00,3,2,16,8
2023-08-27 00:00:00+00:00,3,3,7,4
2023-08-28 00:00:00+00:00,15,7,60,15
2023-08-29 00:00:00+00:00,4,3,59,19
2023-08-30 00:00:00+00:00,20,16,99,12
2023-08-31 00:00:00+00:00,7,6,65,17
2023-09-01 00:00:00+00:00,21,16,116,22
2023-09-02 00:00:00+00:00,9,2,17,5
2023-09-03 00:00:00+00:00,5,4,29,5
2023-09-04 00:00:00+00:00,20,15,80,17
2023-09-05 00:00:00+00:00,10,5,62,19
2023-09-06 00:00:00+00:00,9,6,62,18
2023-09-07 00:00:00+00:00,12,8,94,26
2023-09-08 00:00:00+00:00,20,14,88,23
2023-09-09 00:00:00+00:00,4,4,24,9
2023-09-10 00:00:00+00:00,19,14,81,7
2023-09-11 00:00:00+00:00,18,12,76,23
2023-09-12 00:00:00+00:00,7,6,118,25
2023-09-13 00:00:00+00:00,20,11,72,17
2023-09-14 00:00:00+00:00,30,17,96,27
